ID,State,Prison,Jail,Parole,Probation,Total,Note
1,Alabama,26841,16520,9296,55349,108006,
2,Alaska,1782,90,1163,2100,5135,
3,Arizona,40951,13560,7114,78215,139840,
4,Arkansas,17713,9460,25034,39268,91475,
5,California,122417,82460,107139,199313,511329,
6,Colorado,19785,13810,11155,82677,127427,
7,Connecticut,8751,13106,3651,36475,61983,Unified Prison
8,Delaware,3735,0,362,13010,17107,
9,Florida,96009,64710,4349,204159,369227,
10,Georgia,54113,45340,19256,411768,530477,
11,Hawaii,3037,0,1666,19619,24322,
12,Idaho,9437,5610,5122,35516,55685,
13,Illinois,38259,19110,26237,93400,177006,
14,Indiana,27180,20880,6040,111581,165681,
15,Iowa,9260,5070,7035,20256,41621,
16,Kansas,9965,8090,5530,18096,41681,
17,Kentucky,2302,27220,15050,49757,94329,
18,Louisiana,31609,32730,28283,33741,126363,
19,Maine,2185,1710,19,6568,10482,
20,Maryland,18595,12160,9669,70227,110651,
21,Massachusetts,8205,9380,1348,51338,70271,
22,Michigan,38053,17020,13488,142653,211214,
23,Minnesota,9982,7070,7243,98390,122685,
24,Mississippi,19417,14340,10432,28458,72647,
25,Missouri,26044,12000,21520,43413,102977,
26,Montana,4723,0,1533,9589,15845,
27,Nebraska,5682,4240,959,13023,23904,
28,Nevada,12840,8440,7647,15247,44174,
29,New Hampshire,2691,1990,2251,3659,10591,
30,New Jersey,18613,10470,15194,127804,172081,
31,New Mexico,6723,7270,2679,12354,29026,
32,New York,43500,20500,44917,88879,197796,
33,North Carolina,34079,20960,14212,76905,146156,
34,North Dakota,1794,1500,767,6199,10260,
35,Ohio,50338,20670,21832,222292,315132,
36,Oklahoma,25679,0,1959,39589,67227,
37,Oregon,14961,7100,23832,35732,81625,
38,Pennsylvania,45702,31790,105938,172052,355482,
39,Rhode Island,2740,0,557,19897,23194,
40,South Carolina,18608,12820,4732,31328,67488,
41,South Dakota,3801,2120,3440,5424,14785,
42,Tennessee,26349,31330,11058,62472,131209,
43,Texas,158429,69610,109159,367753,704951,
44,Utah,6665,7600,4073,11853,30191,
45,Vermont,1608,0,871,3987,6466,
46,Virginia,36091,28970,1921,65520,132502,
47,Washington,19261,12060,13056,81095,125472,
48,West Virginia,6800,5110,4718,6454,23082,
49,Wisconsin,23956,13650,22292,42693,102591,
50,Wyoming,2479,1600,968,5569,10616,
51,US_Total,24394,15424,15355,69454,124629,
